INPUT:id	OUTPUT:image	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ACCEPT:verdict	ACCEPT:comment
https://storage.googleapis.com/hand-signatures-toloka/signatures/8__lid_1644025059148_1_JPEG_20220204_223714.jpg.jpg	ru.0187d045-7110-4bf1-904c-4f730aae0205			https://toloka.yandex.ru/task/31531273/0001e12109--61fdebbf404d017ba83b07cf	27489662-09e2-4f8f-94b7-75cfd305f24d	0001e12109--61fdebbf404d017ba83b07cf	+	
https://storage.googleapis.com/hand-signatures-toloka/signatures/8__lid_1643975554739_1_JPEG_20220204_125222.jpg.jpg	ru.b3b132ab-1839-4910-953b-1d5ef16047d8			https://toloka.yandex.ru/task/31531273/0001e12109--61fdf16af73c4b173c29b8c6	7026cd16-da12-4909-982e-fda139ffda70	0001e12109--61fdf16af73c4b173c29b8c6	+	
https://storage.googleapis.com/hand-signatures-toloka/signatures/8__lid_1644022634248_1_JPEG_20220205_075630.jpg.jpg	ru.dda0dbcd-9f1e-4a6a-93c4-52a0fa1d7c39			https://toloka.yandex.ru/task/31531273/0001e12109--61fdf522e15bb24f293701f5	d5363e44-cc3b-4fff-9d02-bda22d799e48	0001e12109--61fdf522e15bb24f293701f5	+	
https://storage.googleapis.com/hand-signatures-toloka/signatures/8__lid_1643967077390_1_JPEG_20220204_123105.jpg.jpg	ru.ff30d4ad-4f56-4313-8ab4-623ea2928040			https://toloka.yandex.ru/task/31531273/0001e12109--61fdf81b89f22679fd3ae148	3ba60e50-b327-4c95-861f-4a0b411504d5	0001e12109--61fdf81b89f22679fd3ae148	+	
https://storage.googleapis.com/hand-signatures-toloka/signatures/8__IMG_20220203_194802196_HDR.jpg.jpg	ru.474ed394-afdf-4dc8-81d0-8adab2e2ac38			https://toloka.yandex.ru/task/31531273/0001e12109--61fdfbb64f7fe9518fa4d56f	3c648e5e-b5c0-457c-9393-d121b86b890f	0001e12109--61fdfbb64f7fe9518fa4d56f	+	
https://storage.googleapis.com/hand-signatures-toloka/signatures/8__lid_1643975664292_1_JPEG_20220204_125414.jpg.jpg	ru.09878926-1913-4376-8b0a-fdb04f123017			https://toloka.yandex.ru/task/31531273/0001e12109--61fdfc7442773f78b0aed18f	fea454dd-b2c4-4d2d-b074-23cd2d0209a1	0001e12109--61fdfc7442773f78b0aed18f	+	
https://storage.googleapis.com/hand-signatures-toloka/signatures/8__lid_1644014767025_1_JPEG_20220205_014540.jpg.jpg	ru.56cc90d9-5afa-4992-8156-ccb326c1df0a			https://toloka.yandex.ru/task/31531273/0001e12109--61fdfd698adf482a9716e255	5e1a88e9-d4a6-4234-9ec4-74c945f96cc1	0001e12109--61fdfd698adf482a9716e255	+	
https://storage.googleapis.com/hand-signatures-toloka/signatures/8__lid_1643975554739_1_JPEG_20220204_125222.jpg.jpg	ru.54f2764e-e3f0-45d8-8717-1652dbd92389			https://toloka.yandex.ru/task/31531273/0001e12109--61fdfdb4b9c1857175ecee06	7026cd16-da12-4909-982e-fda139ffda70	0001e12109--61fdfdb4b9c1857175ecee06	+	
https://storage.googleapis.com/hand-signatures-toloka/signatures/8__lid_1643967077390_1_JPEG_20220204_123105.jpg.jpg	ru.5a4af5b2-cc0a-453a-b322-6bb81a0ee674			https://toloka.yandex.ru/task/31531273/0001e12109--61fe02bf30815911afcfa089	3ba60e50-b327-4c95-861f-4a0b411504d5	0001e12109--61fe02bf30815911afcfa089	+	
https://storage.googleapis.com/hand-signatures-toloka/signatures/8__lid_1644022947188_3_JPEG_20220204_220103.jpg.jpg	ru.1dfb1e75-5491-4306-9f91-1c85b52fa576			https://toloka.yandex.ru/task/31531273/0001e12109--61fe0306bfae834024504053	c8e1bdf2-4022-42b4-8523-3cc4fea08868	0001e12109--61fe0306bfae834024504053	+	
https://storage.googleapis.com/hand-signatures-toloka/signatures/8__lid_1643943235130_1_JPEG_20220204_082227.jpg.jpg	ru.63e5ae1f-7a92-4a4d-b1cb-01449dc85c37			https://toloka.yandex.ru/task/31531273/0001e12109--61fe033038988537974046f8	3c56c469-baa5-411f-8e80-48c1fff7c07d	0001e12109--61fe033038988537974046f8	+	
https://storage.googleapis.com/hand-signatures-toloka/signatures/8__lid_1644025059148_1_JPEG_20220204_223714.jpg.jpg	ru.797ad08c-c411-4175-b90e-fb0f9ccfe1bb			https://toloka.yandex.ru/task/31531273/0001e12109--61fe034a2db8902a709dc86a	27489662-09e2-4f8f-94b7-75cfd305f24d	0001e12109--61fe034a2db8902a709dc86a	+	
https://storage.googleapis.com/hand-signatures-toloka/signatures/8__lid_1643975138814_1_JPEG_20220204_124502.jpg.jpg	ru.12c174df-fdb1-43b9-8bf4-af6eccb1fdbe			https://toloka.yandex.ru/task/31531273/0001e12109--61fe0502d46b21329750c275	5f63288e-5751-4112-ae7f-2c6eb936d07b	0001e12109--61fe0502d46b21329750c275	+	
https://storage.googleapis.com/hand-signatures-toloka/signatures/8__lid_1643943852489_1_JPEG_20220204_000355.jpg.jpg	ru.c9c18a9a-b92b-4b32-9298-ef3a0c330a7f			https://toloka.yandex.ru/task/31531273/0001e12109--61fe05d7c3d47a10111f1c3f	ec0bb22b-cee2-4f7b-b7d6-5ce96d5c17f1	0001e12109--61fe05d7c3d47a10111f1c3f	+	
https://storage.googleapis.com/hand-signatures-toloka/signatures/8__lid_1643945216872_1_JPEG_20220204_102640.jpg.jpg	ru.0d2ff4bd-26bc-413d-90e0-0601eed891fa			https://toloka.yandex.ru/task/31531273/0001e12109--61fe07bdd46b21329750dd29	de3cc7da-2ceb-4f43-83bb-5bb5c0469c87	0001e12109--61fe07bdd46b21329750dd29	+	
https://storage.googleapis.com/hand-signatures-toloka/signatures/.ipynb_checkpoints	ru.c94cbda6-786c-47ee-8416-975ef16ebe6b			https://toloka.yandex.ru/task/31531273/0001e12109--61fe0871376abd3976461c03	d553af8e-f42d-425a-bc4e-462ae51f60a5	0001e12109--61fe0871376abd3976461c03	+	
https://storage.googleapis.com/hand-signatures-toloka/signatures/8__lid_1644025059148_1_JPEG_20220204_223714.jpg.jpg	ru.103c582f-6b45-4d32-b77c-447ef80ad89b			https://toloka.yandex.ru/task/31531273/0001e12109--61fe08f6bed6560638f008ba	27489662-09e2-4f8f-94b7-75cfd305f24d	0001e12109--61fe08f6bed6560638f008ba	+	
https://storage.googleapis.com/hand-signatures-toloka/signatures/8__lid_1643967077390_1_JPEG_20220204_123105.jpg.jpg	ru.cbfd2b85-2240-439c-a969-d0139ffdac8e			https://toloka.yandex.ru/task/31531273/0001e12109--61fe095d5777875c16ac0ec8	3ba60e50-b327-4c95-861f-4a0b411504d5	0001e12109--61fe095d5777875c16ac0ec8	+	
https://storage.googleapis.com/hand-signatures-toloka/signatures/8__lid_1643943235130_1_JPEG_20220204_082227.jpg.jpg	ru.53a3b83b-6f16-41db-85cf-ce9ff6921bc1			https://toloka.yandex.ru/task/31531273/0001e12109--61fe0ad06ba4b13c7dd74a9a	3c56c469-baa5-411f-8e80-48c1fff7c07d	0001e12109--61fe0ad06ba4b13c7dd74a9a	+	
https://storage.googleapis.com/hand-signatures-toloka/signatures/8__lid_1644027318855_1_JPEG_20220205_071500.jpg.jpg	ru.cdb7d0bb-98d7-4ac5-8318-7c157bc9ed37			https://toloka.yandex.ru/task/31531273/0001e12109--61fe0bc239c46c14879f1343	ab07409f-4d0a-485d-b11b-c37f6f5d5b5e	0001e12109--61fe0bc239c46c14879f1343	+	
https://storage.googleapis.com/hand-signatures-toloka/signatures/8__lid_1644027158845_1_JPEG_20220205_101216.jpg.jpg	ru.8524f5d7-b543-44c8-9a82-4de220f907cf			https://toloka.yandex.ru/task/31531273/0001e12109--61fe0bf3376abd39764631ae	24af3cd2-46c1-4fbf-886c-a186393b13f0	0001e12109--61fe0bf3376abd39764631ae	+	
https://storage.googleapis.com/hand-signatures-toloka/signatures/8__lid_1643975554739_1_JPEG_20220204_125222.jpg.jpg	ru.55d454ed-53ed-4f07-b815-39634406cdef			https://toloka.yandex.ru/task/31531273/0001e12109--61fe0d3dbed6560638f02c88	7026cd16-da12-4909-982e-fda139ffda70	0001e12109--61fe0d3dbed6560638f02c88	+	
https://storage.googleapis.com/hand-signatures-toloka/signatures/8__lid_1643928930503_1_JPEG_20220204_065441.jpg.jpg	ru.a2bc2996-81d9-4ce1-bdce-29d474ab2d4c			https://toloka.yandex.ru/task/31531273/0001e12109--61fe110fc122c50b34ffe9c2	fb369f73-6525-4492-9d5f-747c93c6f8f2	0001e12109--61fe110fc122c50b34ffe9c2	+	
https://storage.googleapis.com/hand-signatures-toloka/signatures/8__lid_1643943159889_1_JPEG_20220204_105031.jpg.jpg	ru.363afe17-49ac-4fe0-9f89-1ac7b01c2399			https://toloka.yandex.ru/task/31531273/0001e12109--61fe11cdc122c50b34ffef59	eecf5a82-50b9-41f8-9512-771b85d95553	0001e12109--61fe11cdc122c50b34ffef59	+	
https://storage.googleapis.com/hand-signatures-toloka/signatures/8__lid_1643975554739_1_JPEG_20220204_125222.jpg.jpg	ru.25ce7b90-e773-47bf-b5e6-dfefe61c1ebe			https://toloka.yandex.ru/task/31531273/0001e12109--61fe14602932f70fa402b8a0	7026cd16-da12-4909-982e-fda139ffda70	0001e12109--61fe14602932f70fa402b8a0	+	
https://storage.googleapis.com/hand-signatures-toloka/signatures/8__lid_1644022926239_1_JPEG_20220205_090140.jpg.jpg	ru.d6554475-a7fb-47a3-b159-4b0895f1794e			https://toloka.yandex.ru/task/31531273/0001e12109--61fe194764b3112aeae198f1	beb0859a-7192-4d69-9404-c4ed147fcafa	0001e12109--61fe194764b3112aeae198f1	+	
https://storage.googleapis.com/hand-signatures-toloka/signatures/8__lid_1644022926239_1_JPEG_20220205_090140.jpg.jpg	ru.a5af453b-9ff4-48a2-9508-d96e875a0d14			https://toloka.yandex.ru/task/31531273/0001e12109--61fe1df382027b60777566c7	beb0859a-7192-4d69-9404-c4ed147fcafa	0001e12109--61fe1df382027b60777566c7	+	
https://storage.googleapis.com/hand-signatures-toloka/signatures/8__lid_1644013629328_1_JPEG_20220205_012340.jpg.jpg	ru.415e21dd-4eb4-468c-a954-af17937f8a5a			https://toloka.yandex.ru/task/31531273/0001e12109--61fe22dd2932f70fa4035292	981ce97b-9c97-40bc-942e-5859daca6f1b	0001e12109--61fe22dd2932f70fa4035292	+	
